[2022/09/19 18:04:15] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 18:04:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/20 06:19:48] - 59 	 332.7 	 	 0.0100 	 0.5639 	 0.7719 	 0.8895	 5408.4673 	 0.2703
[2022/09/20 06:26:21] - 60 	 332.5 	 	 0.0100 	 0.5546 	 0.7719 	 0.8992	 5435.0112 	 0.2523
[2022/09/20 06:32:54] - 61 	 332.8 	 	 0.0100 	 0.5470 	 0.7735 	 0.8805	 5523.6543 	 0.2398
[2022/09/20 06:39:28] - 62 	 332.8 	 	 0.0100 	 0.5389 	 0.7780 	 0.8926	 5527.4009 	 0.2602
[2022/09/20 06:46:01] - 63 	 332.7 	 	 0.0100 	 0.5336 	 0.7766 	 0.8891	 5571.8740 	 0.2449
[2022/09/20 06:52:34] - 64 	 332.6 	 	 0.0100 	 0.5259 	 0.7799 	 0.8918	 5561.3892 	 0.2492
[2022/09/20 06:59:07] - 65 	 332.7 	 	 0.0100 	 0.5119 	 0.7842 	 0.9000	 5548.2251 	 0.2437
[2022/09/20 07:05:41] - 66 	 332.7 	 	 0.0100 	 0.5074 	 0.7848 	 0.8887	 5563.1055 	 0.2578
[2022/09/20 07:12:14] - 67 	 332.7 	 	 0.0100 	 0.4967 	 0.7887 	 0.8871	 5575.2954 	 0.2586
[2022/09/20 07:18:47] - 68 	 332.6 	 	 0.0100 	 0.4935 	 0.7886 	 0.8836	 5591.0283 	 0.2480
[2022/09/20 07:25:23] - 69 	 335.4 	 	 0.0100 	 0.4800 	 0.7952 	 0.8984	 5594.3892 	 0.2602
[2022/09/20 07:31:56] - 70 	 332.5 	 	 0.0100 	 0.4772 	 0.7957 	 0.8926	 5597.6567 	 0.2430
[2022/09/20 07:38:29] - 71 	 332.4 	 	 0.0100 	 0.4678 	 0.7994 	 0.8906	 5587.1455 	 0.2254
[2022/09/20 07:45:01] - 72 	 332.1 	 	 0.0100 	 0.4614 	 0.8012 	 0.8797	 5559.6040 	 0.2543
